Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction Rating
Male,48,First-time,Business,Business,821,2,5,3,3,4,3,3,3,5,2,5,5,5,3,5,5,Satisfied
Female,35,Returning,Business,Business,821,26,39,2,2,3,5,2,5,4,5,5,3,5,2,5,5,Satisfied
Male,41,Returning,Business,Business,853,0,0,4,4,4,5,4,3,5,3,5,5,3,4,3,3,Satisfied
Male,50,Returning,Business,Business,1905,0,0,2,2,3,4,2,5,5,5,4,4,5,2,5,5,Satisfied
Female,49,Returning,Business,Business,3470,0,1,3,3,3,5,3,3,4,4,5,4,3,3,3,3,Satisfied
Male,43,Returning,Business,Business,3788,0,0,4,4,3,5,4,4,4,4,3,3,4,4,4,4,Satisfied
Male,43,Returning,Business,Business,1963,0,0,3,3,4,4,3,5,5,5,4,5,5,3,5,5,Satisfied
Female,60,Returning,Business,Business,853,0,3,3,4,3,4,4,3,4,4,4,4,3,4,3,3,Satisfied
Male,50,Returning,Business,Business,2607,0,0,1,1,3,2,1,4,3,4,3,3,4,4,4,4,Neutral
Female,38,Returning,Business,Business,2822,13,0,2,5,3,5,2,5,4,5,4,2,5,2,5,5,Satisfied
Female,28,First-time,Business,Business,821,0,5,1,1,3,1,3,2,2,5,2,2,4,1,2,3,Dissatisfied
Female,27,First-time,Business,Business,421,20,21,2,2,1,2,4,2,2,5,1,1,3,1,1,4,Dissatisfied
Male,24,First-time,Business,Economy,453,16,30,2,2,2,2,4,2,5,4,5,5,4,2,5,4,Neutral
Male,9,Returning,Personal,Business,853,68,76,5,1,5,1,2,4,5,3,5,5,5,1,5,4,Satisfied
Male,52,Returning,Personal,Economy,853,0,0,4,2,3,2,4,3,2,3,2,2,5,2,2,5,Neutral
Male,70,Returning,Personal,Economy,821,0,0,5,2,4,2,1,4,5,2,5,5,5,2,5,4,Satisfied
Female,48,Returning,Personal,Economy,821,0,0,3,2,5,5,3,5,1,2,2,1,5,2,5,5,Neutral
Female,61,Returning,Personal,Economy,821,0,0,5,2,5,1,1,5,5,2,1,4,5,2,5,5,Neutral
Female,11,Returning,Personal,Economy,853,0,0,5,3,5,3,2,3,5,2,5,5,5,3,5,4,Satisfied
Female,42,Returning,Personal,Economy,821,4,0,3,3,3,3,4,1,4,3,3,1,1,3,1,1,Dissatisfied
Female,14,Returning,Personal,Economy,853,12,1,1,3,4,3,3,1,4,3,4,4,3,3,4,2,Neutral
Female,70,Returning,Personal,Economy,853,0,0,4,1,4,4,2,1,4,1,4,2,1,1,1,1,Dissatisfied
Female,56,Returning,Personal,Economy,821,0,0,4,3,4,4,3,5,3,3,4,3,5,4,5,5,Satisfied
Male,77,Returning,Business,Economy Plus,821,0,0,5,5,1,4,5,4,4,5,4,4,2,4,4,3,Satisfied
Male,51,Returning,Business,Business,3460,0,2,3,3,5,4,3,5,5,4,4,2,5,3,5,5,Satisfied
Male,47,Returning,Business,Business,1676,0,15,4,5,5,4,4,5,5,5,5,5,5,4,5,4,Very Satisfied
Male,50,Returning,Business,Business,2168,6,24,3,3,4,4,3,5,5,5,4,2,5,3,5,5,Satisfied
Male,40,Returning,Business,Business,3734,0,52,4,4,4,4,4,5,4,5,3,2,5,4,5,5,Satisfied
Male,48,Returning,Business,Business,3088,0,12,4,5,3,4,4,4,4,4,3,3,4,4,4,4,Satisfied
Male,35,First-time,Business,Business,212,0,0,2,2,5,2,1,4,2,5,2,2,4,2,2,5,Neutral
Male,21,First-time,Business,Economy,173,0,0,0,4,3,4,4,5,3,5,3,3,4,4,3,4,Satisfied
Female,33,First-time,Business,Business,173,22,28,2,2,5,2,5,3,2,3,2,2,5,2,2,5,Neutral
Male,39,Returning,Business,Business,1672,23,17,2,2,5,4,2,3,5,4,5,5,3,2,3,5,Satisfied
Female,42,Returning,Business,Business,2884,0,0,2,5,3,4,5,5,5,5,4,2,5,5,5,5,Satisfied
Female,54,Returning,Business,Business,212,12,26,4,4,5,5,4,4,4,4,4,5,4,4,4,5,Satisfied
Female,51,Returning,Business,Business,215,0,0,4,4,4,4,4,5,5,4,3,3,5,4,5,5,Satisfied
Female,46,Returning,Business,Business,67,0,0,3,3,5,5,3,4,4,4,5,4,4,3,4,4,Satisfied
Male,51,Returning,Business,Business,212,0,0,2,2,3,4,2,5,4,4,5,2,5,2,5,4,Satisfied
Female,54,Returning,Business,Business,1554,59,70,2,2,3,4,2,4,4,4,5,2,4,2,4,4,Neutral
Female,45,Returning,Business,Business,108,0,0,4,4,5,5,4,4,4,4,3,3,4,4,4,5,Satisfied
Female,54,Returning,Business,Business,1584,0,8,2,2,4,4,2,4,4,4,4,4,4,2,4,4,Neutral
Male,51,Returning,Business,Business,2077,0,1,1,4,5,5,4,5,5,5,4,2,5,4,5,5,Satisfied
Female,23,First-time,Business,Economy,173,16,13,0,3,3,3,1,3,4,2,4,4,4,3,4,5,Neutral
Female,40,First-time,Business,Business,212,29,41,3,3,2,3,3,1,4,2,5,5,2,3,5,3,Neutral
Male,20,First-time,Business,Economy,108,0,29,5,4,5,4,1,5,3,4,5,5,4,4,5,5,Satisfied
Male,27,First-time,Business,Business,108,0,0,4,4,5,4,4,3,5,4,5,5,5,4,5,4,Satisfied
Male,44,Returning,Business,Business,1859,0,0,2,4,3,5,2,5,5,5,4,5,5,2,5,5,Satisfied
Female,20,First-time,Business,Economy,67,2,10,0,4,3,4,1,4,5,5,5,5,4,4,5,5,Satisfied
Male,37,First-time,Business,Business,212,4,1,3,3,3,3,4,4,1,2,3,3,5,2,3,5,Neutral
Male,40,Returning,Business,Business,2853,0,0,3,3,5,5,3,4,4,4,5,2,4,3,4,4,Satisfied
